Events,EventsIncludingFixations,TotalFixations,TotalMatchingFixations,TotalNonMatchingFixations,AvgFixationsPerEvent,%MatchingFixations,%NonMatchingFixations,TotalTestTime,TotalDurationIntersecting,TotalDurationNonIntersecting,AvgDurationIntersecting,AvgDurationNonIntersecting,%EventsWithFixations,EventsWithTestObject,AllEventsWithTestObjectTrue,PercentageEventsWithTestObjectTrue,TotalRelevantFixations,TotalRelevantFixationsTrue,TotalRelevantFixationsFalse,%RelevantFixations,Subject,Filename
17,17,161,100,61,9.47,62.11,37.89,00:00:58.000,00:00:36.000,00:00:22.000,00:00:00.360,00:00:00.300,100.0,0,0,0.0,0,0,0,0.0,s2,RQ1_tobii_form_density_high_postprocessed.csv
6,5,32,19,13,5.33,59.38,40.62,00:00:12.000,00:00:07.000,00:00:05.000,00:00:00.370,00:00:00.380,83.33,0,0,0.0,0,0,0,0.0,s2,RQ1_tobii_form_density_low_postprocessed.csv
15,15,349,8,341,23.27,2.29,97.71,00:01:30.000,00:00:02.000,00:01:28.000,00:00:00.250,00:00:00.250,100.0,0,0,0.0,0,0,0,0.0,s2,RQ1_webgazer_form_density_high_postprocessed.csv
6,5,20,2,18,3.33,10.0,90.0,00:00:17.000,00:00:03.000,00:00:14.000,00:00:01.500,00:00:00.610,83.33,0,0,0.0,0,0,0,0.0,s2,RQ1_webgazer_form_density_low_postprocessed.csv
19,17,45,32,13,2.37,71.11,28.89,00:00:18.000,00:00:12.000,00:00:06.000,00:00:00.380,00:00:00.230,89.47,0,0,0.0,0,0,0,0.0,s2,RQ2_tobii_alternance_buttons_postprocessed.csv
19,19,60,31,29,3.16,51.67,48.33,00:00:23.000,00:00:10.000,00:00:13.000,00:00:00.320,00:00:00.310,100.0,0,0,0.0,0,0,0,0.0,s2,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,5,65,60,5,13.0,92.31,7.69,00:00:27.000,00:00:24.000,00:00:03.000,00:00:00.400,00:00:00.400,100.0,0,0,0.0,0,0,0,0.0,s2,RQ3_tobii_position_50cm_postprocessed.csv
5,5,33,25,8,6.6,75.76,24.24,00:00:22.000,00:00:17.000,00:00:05.000,00:00:00.680,00:00:00.380,100.0,0,0,0.0,0,0,0,0.0,s2,RQ3_tobii_position_70cm_postprocessed.csv
5,1,1,0,1,0.2,0.0,100.0,00:00:24.000,00:00:00.000,00:00:24.000,00:00:00.000,00:00:09.000,20.0,0,0,0.0,0,0,0,0.0,s2,RQ3_tobii_position_90cm_postprocessed.csv
5,5,142,7,135,28.4,4.93,95.07,00:00:38.000,00:00:00.000,00:00:38.000,00:00:00.000,00:00:00.270,100.0,0,0,0.0,0,0,0,0.0,s2,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,107,18,89,21.4,16.82,83.18,00:00:30.000,00:00:03.000,00:00:27.000,00:00:00.170,00:00:00.300,100.0,0,0,0.0,0,0,0,0.0,s2,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,78,0,78,15.6,0.0,100.0,00:00:24.000,00:00:00.000,00:00:24.000,00:00:00.000,00:00:00.290,100.0,0,0,0.0,0,0,0,0.0,s2,RQ3_webgazer_position_90cm_postprocessed.csv
5,5,64,20,44,12.8,31.25,68.75,00:00:37.000,00:00:21.000,00:00:16.000,00:00:01.050,00:00:00.320,100.0,4,4,100.0,64,64,0,100.0,s2,RQ4_tobii_rpm_postprocessed.csv
5,5,151,20,131,30.2,13.25,86.75,00:00:41.000,00:00:04.000,00:00:37.000,00:00:00.200,00:00:00.280,100.0,4,4,100.0,151,94,57,62.25,s2,RQ4_webgazer_rpm_postprocessed.csv
