Events,EventsIncludingFixations,TotalFixations,TotalMatchingFixations,TotalNonMatchingFixations,AvgFixationsPerEvent,%MatchingFixations,%NonMatchingFixations,TotalTestTime,TotalDurationIntersecting,TotalDurationNonIntersecting,AvgDurationIntersecting,AvgDurationNonIntersecting,%EventsWithFixations,EventsWithTestObject,AllEventsWithTestObjectTrue,PercentageEventsWithTestObjectTrue,TotalRelevantFixations,TotalRelevantFixationsTrue,TotalRelevantFixationsFalse,%RelevantFixations,AvgDistanceErrorPx,Subject,Filename
15,15,103,96,7,6.87,93.2,6.8,00:00:50.000,00:00:43.000,00:00:07.000,00:00:00.450,00:00:00.710,100.0,0,0,0.0,0,0,0,0.0,2.65,s9,RQ1_tobii_form_density_high_postprocessed.csv
6,6,48,46,2,8.0,95.83,4.17,00:00:19.000,00:00:18.000,00:00:01.000,00:00:00.390,00:00:00.000,100.0,0,0,0.0,0,0,0,0.0,4.78,s9,RQ1_tobii_form_density_low_postprocessed.csv
15,15,351,95,256,23.4,27.07,72.93,00:01:16.000,00:00:20.000,00:00:56.000,00:00:00.210,00:00:00.210,100.0,0,0,0.0,0,0,0,0.0,20.87,s9,RQ1_webgazer_form_density_high_postprocessed.csv
6,6,108,27,81,18.0,25.0,75.0,00:00:30.000,00:00:09.000,00:00:21.000,00:00:00.330,00:00:00.250,100.0,0,0,0.0,0,0,0,0.0,60.12,s9,RQ1_webgazer_form_density_low_postprocessed.csv
18,16,37,27,10,2.06,72.97,27.03,00:00:14.000,00:00:10.000,00:00:04.000,00:00:00.370,00:00:00.000,88.89,0,0,0.0,0,0,0,0.0,11.51,s9,RQ2_tobii_alternance_buttons_postprocessed.csv
19,19,108,29,79,5.68,26.85,73.15,00:00:32.000,00:00:09.000,00:00:23.000,00:00:00.310,00:00:00.270,100.0,0,0,0.0,0,0,0,0.0,29.52,s9,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,5,19,18,1,3.8,94.74,5.26,00:00:18.000,00:00:16.000,00:00:02.000,00:00:00.890,00:00:01.000,100.0,0,0,0.0,0,0,0,0.0,1.41,s9,RQ3_tobii_position_50cm_postprocessed.csv
5,5,17,16,1,3.4,94.12,5.88,00:00:16.000,00:00:14.000,00:00:02.000,00:00:00.880,00:00:01.000,100.0,0,0,0.0,0,0,0,0.0,1.51,s9,RQ3_tobii_position_70cm_postprocessed.csv
5,4,7,2,5,1.4,28.57,71.43,00:00:14.000,00:00:03.000,00:00:11.000,00:00:01.500,00:00:01.800,80.0,0,0,0.0,0,0,0,0.0,51.86,s9,RQ3_tobii_position_90cm_postprocessed.csv
5,5,59,20,39,11.8,33.9,66.1,00:00:23.000,00:00:07.000,00:00:16.000,00:00:00.350,00:00:00.380,100.0,0,0,0.0,0,0,0,0.0,30.68,s9,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,101,34,67,20.2,33.66,66.34,00:00:24.000,00:00:10.000,00:00:14.000,00:00:00.290,00:00:00.210,100.0,0,0,0.0,0,0,0,0.0,35.49,s9,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,73,34,39,14.6,46.58,53.42,00:00:16.000,00:00:07.000,00:00:09.000,00:00:00.210,00:00:00.230,100.0,0,0,0.0,0,0,0,0.0,28.15,s9,RQ3_webgazer_position_90cm_postprocessed.csv
5,5,55,14,41,11.0,25.45,74.55,00:00:34.000,00:00:17.000,00:00:17.000,00:00:01.210,00:00:00.320,100.0,4,4,100.0,55,54,1,98.18,124.37,s9,RQ4_tobii_rpm_postprocessed.csv
5,5,169,27,142,33.8,15.98,84.02,00:00:43.000,00:00:07.000,00:00:36.000,00:00:00.260,00:00:00.250,100.0,4,4,100.0,169,92,77,54.44,113.7,s9,RQ4_webgazer_rpm_postprocessed.csv
