Events,EventsIncludingFixations,TotalFixations,TotalMatchingFixations,TotalNonMatchingFixations,AvgFixationsPerEvent,%MatchingFixations,%NonMatchingFixations,TotalTestTime,TotalDurationIntersecting,TotalDurationNonIntersecting,AvgDurationIntersecting,AvgDurationNonIntersecting,%EventsWithFixations,EventsWithTestObject,AllEventsWithTestObjectTrue,PercentageEventsWithTestObjectTrue,TotalRelevantFixations,TotalRelevantFixationsTrue,TotalRelevantFixationsFalse,%RelevantFixations,MeanErrorDistance,Subject,Filename
15,15,128,126,2,8.53,98.44,1.56,00:01:11.000,00:01:06.000,00:00:05.000,00:00:00.520,00:00:00.500,100.0,0,0,0.0,0,0,0,0.0,0.32,s7,RQ1_tobii_form_density_high_postprocessed.csv
6,6,59,54,5,9.83,91.53,8.47,00:00:24.000,00:00:22.000,00:00:02.000,00:00:00.410,00:00:00.400,100.0,0,0,0.0,0,0,0,0.0,7.99,s7,RQ1_tobii_form_density_low_postprocessed.csv
15,15,398,188,210,26.53,47.24,52.76,00:01:42.000,00:00:43.000,00:00:59.000,00:00:00.230,00:00:00.270,100.0,0,0,0.0,0,0,0,0.0,14.41,s7,RQ1_webgazer_form_density_high_postprocessed.csv
6,6,169,100,69,28.17,59.17,40.83,00:00:38.000,00:00:23.000,00:00:15.000,00:00:00.230,00:00:00.200,100.0,0,0,0.0,0,0,0,0.0,32.15,s7,RQ1_webgazer_form_density_low_postprocessed.csv
19,19,49,32,17,2.58,65.31,34.69,00:00:16.000,00:00:11.000,00:00:05.000,00:00:00.340,00:00:00.240,100.0,0,0,0.0,0,0,0,0.0,11.24,s7,RQ2_tobii_alternance_buttons_postprocessed.csv
19,19,148,54,94,7.79,36.49,63.51,00:00:45.000,00:00:14.000,00:00:31.000,00:00:00.260,00:00:00.330,100.0,0,0,0.0,0,0,0,0.0,27.8,s7,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,5,12,11,1,2.4,91.67,8.33,00:00:15.000,00:00:11.000,00:00:04.000,00:00:01.000,00:00:01.000,100.0,0,0,0.0,0,0,0,0.0,2.6,s7,RQ3_tobii_position_50cm_postprocessed.csv
5,5,26,24,2,5.2,92.31,7.69,00:00:15.000,00:00:12.000,00:00:03.000,00:00:00.500,00:00:01.000,100.0,0,0,0.0,0,0,0,0.0,1.85,s7,RQ3_tobii_position_70cm_postprocessed.csv
5,1,0,0,0,0.0,0.0,0.0,00:00:12.000,00:00:00.000,00:00:12.000,00:00:00.000,00:00:00.000,20.0,0,0,0.0,0,0,0,0.0,0.0,s7,RQ3_tobii_position_90cm_postprocessed.csv
5,5,63,10,53,12.6,15.87,84.13,00:00:20.000,00:00:04.000,00:00:16.000,00:00:00.400,00:00:00.260,100.0,0,0,0.0,0,0,0,0.0,49.59,s7,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,141,77,64,28.2,54.61,45.39,00:00:27.000,00:00:12.000,00:00:15.000,00:00:00.160,00:00:00.230,100.0,0,0,0.0,0,0,0,0.0,26.53,s7,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,107,33,74,21.4,30.84,69.16,00:00:24.000,00:00:08.000,00:00:16.000,00:00:00.240,00:00:00.200,100.0,0,0,0.0,0,0,0,0.0,49.76,s7,RQ3_webgazer_position_90cm_postprocessed.csv
5,5,60,21,39,12.0,35.0,65.0,00:00:36.000,00:00:18.000,00:00:18.000,00:00:00.860,00:00:00.460,100.0,4,4,100.0,60,60,0,100.0,111.52,s7,RQ4_tobii_rpm_postprocessed.csv
5,5,308,83,225,61.6,26.95,73.05,00:01:05.000,00:00:17.000,00:00:48.000,00:00:00.200,00:00:00.210,100.0,4,4,100.0,308,212,96,68.83,81.84,s7,RQ4_webgazer_rpm_postprocessed.csv
