Events,EventsIncludingFixations,TotalFixations,TotalMatchingFixations,TotalNonMatchingFixations,AvgFixationsPerEvent,%MatchingFixations,%NonMatchingFixations,TotalTestTime,TotalDurationIntersecting,TotalDurationNonIntersecting,AvgDurationIntersecting,AvgDurationNonIntersecting,%EventsWithFixations,EventsWithTestObject,AllEventsWithTestObjectTrue,PercentageEventsWithTestObjectTrue,TotalRelevantFixations,TotalRelevantFixationsTrue,TotalRelevantFixationsFalse,%RelevantFixations,Subject,Filename
15,15,153,145,8,10.2,94.77,5.23,00:01:26.000,00:01:20.000,00:00:06.000,00:00:00.550,00:00:00.380,100.0,0,0,0.0,0,0,0,0.0,s3,RQ1_tobii_form_density_high_postprocessed.csv
6,6,65,64,1,10.83,98.46,1.54,00:00:31.000,00:00:30.000,00:00:01.000,00:00:00.470,00:00:00.000,100.0,0,0,0.0,0,0,0,0.0,s3,RQ1_tobii_form_density_low_postprocessed.csv
15,15,377,153,224,25.13,40.58,59.42,00:01:26.000,00:00:31.000,00:00:55.000,00:00:00.200,00:00:00.240,100.0,0,0,0.0,0,0,0,0.0,s3,RQ1_webgazer_form_density_high_postprocessed.csv
6,6,136,69,67,22.67,50.74,49.26,00:00:31.000,00:00:14.000,00:00:17.000,00:00:00.200,00:00:00.240,100.0,0,0,0.0,0,0,0,0.0,s3,RQ1_webgazer_form_density_low_postprocessed.csv
19,19,60,31,29,3.16,51.67,48.33,00:00:23.000,00:00:10.000,00:00:13.000,00:00:00.320,00:00:00.310,100.0,0,0,0.0,0,0,0,0.0,s3,RQ2_webgazer_alternance_buttons_postprocessed.csv
5,5,21,16,5,4.2,76.19,23.81,00:00:25.000,00:00:20.000,00:00:05.000,00:00:01.250,00:00:01.000,100.0,0,0,0.0,0,0,0,0.0,s3,RQ3_tobii_position_50cm_postprocessed.csv
5,5,40,34,6,8.0,85.0,15.0,00:00:32.000,00:00:27.000,00:00:05.000,00:00:00.790,00:00:00.670,100.0,0,0,0.0,0,0,0,0.0,s3,RQ3_tobii_position_70cm_postprocessed.csv
5,5,106,25,81,21.2,23.58,76.42,00:00:28.000,00:00:06.000,00:00:22.000,00:00:00.240,00:00:00.260,100.0,0,0,0.0,0,0,0,0.0,s3,RQ3_webgazer_position_50cm_postprocessed.csv
5,5,96,13,83,19.2,13.54,86.46,00:00:32.000,00:00:03.000,00:00:29.000,00:00:00.230,00:00:00.350,100.0,0,0,0.0,0,0,0,0.0,s3,RQ3_webgazer_position_70cm_postprocessed.csv
5,5,88,28,60,17.6,31.82,68.18,00:00:26.000,00:00:10.000,00:00:16.000,00:00:00.360,00:00:00.250,100.0,0,0,0.0,0,0,0,0.0,s3,RQ3_webgazer_position_90cm_postprocessed.csv
5,5,95,44,51,19.0,46.32,53.68,00:00:51.000,00:00:31.000,00:00:20.000,00:00:00.700,00:00:00.330,100.0,4,4,100.0,95,93,2,97.89,s3,RQ4_tobii_rpm_postprocessed.csv
5,5,241,78,163,48.2,32.37,67.63,00:00:51.000,00:00:16.000,00:00:35.000,00:00:00.210,00:00:00.210,100.0,4,3,75.0,241,152,89,63.07,s3,RQ4_webgazer_rpm_postprocessed.csv
